,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
7026,0.07,18.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.222,0.263,0.278,-0.12,17.9,0.45,2.49,0.215
7027,0.07,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.4,0.5,0.03,125.0,0.47,0.48,0.041
7028,0.07,29.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,1.0,0.276,0.333,0.31,-0.054,66.1,0.28,0.22,0.019
7029,0.07,18.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.278,0.35,0.278,-0.057,62.6,0.0,0.0,0.0
7030,0.07,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.504,463.3,-0.0278149501857568,-0.021909341178847,-0.001887246077517
7031,0.06,122.0,26.0,36.0,2.0,0.0,0.0,7.0,13.0,6.0,14.0,0.0,0.0,30.0,3.0,1.0,0.0,0.295,0.368,0.311,-0.047,70.0,-0.69,0.34,0.03
7032,0.06,126.0,14.0,30.0,6.0,0.0,6.0,16.0,1.0,1.0,20.0,3.0,1.0,24.0,7.0,0.0,0.0,0.238,0.356,0.429,-0.025,86.0,-0.83,-4.3,-0.371
7033,0.06,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.44,417.8,0.0,0.13,0.012
7034,0.06,36.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,2.0,1.0,1.0,0.222,0.31,0.278,-0.084,44.7,2.23,2.6,0.224
7035,0.05,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.108,180.4,0.0,0.0,0.0
7036,0.05,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.083,163.0,0.09,0.09,0.008
7037,0.05,13.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.231,0.412,0.462,0.036,129.5,0.0,-1.18,-0.102
7038,0.04,16.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.188,0.235,0.25,-0.13,10.9,0.0,0.0,0.0
7039,0.03,14.0,4.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.429,0.4,0.643,0.038,131.0,0.034860170340473,0.0036136126271698,0.0008569676204939
7040,0.03,62.0,4.0,14.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,5.0,0.0,18.0,2.0,0.0,0.0,0.226,0.294,0.258,-0.103,30.4,0.85,0.98,0.085
7041,0.02,15.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.294,0.2,-0.121,17.5,1.05,0.69,0.06
